ID,英文名詞,中文名詞,詞類,更新日期
21385147,floral analysis,植物遺存分析,橋梁工程,
21385148,flotation analysis,浮選分析；浮游分析,橋梁工程,
21385149,flour of lime,石灰粉,橋梁工程,
21385150,flush,沖洗；平,橋梁工程,
21385151,flush joint,平接頭；平頭接合,橋梁工程,
21385152,flush with mortar,砂漿推平,橋梁工程,
21385153,fluted drill,槽鑽；直槽擴孔鑽,橋梁工程,
21385154,fluted reamer,槽式鉸刀；開槽絞刀,橋梁工程,
21385155,flux,通量；銲藥,橋梁工程,
21385156,fly wheel,飛輪,橋梁工程,
21385157,flying falsework,懸掛工作架；懸空式工作架,橋梁工程,
21385158,flying level,飛越水準測量；速測水準；初步整平,橋梁工程,
21385159,folding bridge,摺疊開合橋,橋梁工程,
21385160,foliated granite,片麻岩,橋梁工程,
21385161,foot bridge,人行橋,橋梁工程,
21385162,foot hammer,鍛工錘,橋梁工程,
21385163,foot wall,基腳牆；下盤,橋梁工程,
21385164,footing beam,基腳梁；底腳梁；地梁,橋梁工程,
21385165,footing course,基礎層；基礎砌層,橋梁工程,
21385166,foot-pound,呎磅,橋梁工程,
21385167,foot-pound second,呎磅秒制,橋梁工程,
21385168,foot-ton,呎-噸,橋梁工程,
21385169,foot-walk,人行道,橋梁工程,
21385170,force,力,橋梁工程,
21385171,force polygon,力多邊形,橋梁工程,
21385172,force triangle,力三角,橋梁工程,
21385173,foresight,前視,橋梁工程,
21385174,forge,鍛工場；鍛爐；鍛造,橋梁工程,
21385175,forge hammer,鍛鎚,橋梁工程,
21385176,forge iron,鍛鐵,橋梁工程,
21385177,forge pig,鍛鐵塊；鍛造用生鐵,橋梁工程,
21385178,forge shop,鍛工場,橋梁工程,
21385179,forging,鍛造；鍛造件,橋梁工程,
21385180,forked drill,叉形鑽,橋梁工程,
21385181,forked wrench,開口扳手；叉形扳手,橋梁工程,
21385182,forked-end,叉端,橋梁工程,
21385183,formation,土層；路基層；組成,橋梁工程,
21385184,former,模具,橋梁工程,
21385185,forming iron,成型鐵模,橋梁工程,
21385186,formula,公式,橋梁工程,
21385187,foundation bed,基礎地盤,橋梁工程,
21385188,foundation pile,基樁,橋梁工程,
21385189,foundation pit,基礎坑,橋梁工程,
21385190,foundry,鑄造；鑄工場,橋梁工程,
21385191,foundry iron,生鐵,橋梁工程,
21385192,foundry pig,鑄用生鐵；鑄造生鐵,橋梁工程,
21385193,four-cylinder locomotive,四缸機車,橋梁工程,
21385194,fox bolt,叉端螺栓；端縫螺栓；開尾螺栓,橋梁工程,
21385195,foxtail,狐尾楔塊,橋梁工程,
21385196,fracture critical member,破裂控制桿件,橋梁工程,
21385197,fracture section,破裂斷面,橋梁工程,
21385198,fracture test,破裂試驗；斷裂試驗,橋梁工程,
21385199,frame bent,構架式橋墩；框架式橋墩,橋梁工程,
21385200,frame bridge,構架橋；框架橋,橋梁工程,
21385201,frame diagram,構架圖,橋梁工程,
21385202,frame pulley,構架式滑輪,橋梁工程,
21385203,framed bent,構架式橋墩；框架式橋墩,橋梁工程,
21385204,framed bridge,構架橋；框架橋,橋梁工程,
21385205,framed girder,構架梁,橋梁工程,
21385206,framed trestle,構架式棧橋,橋梁工程,
21385207,framework,構架；框架；組織,橋梁工程,
21385208,framing,定框,橋梁工程,
21385209,framing chisel,榫眼鑿,橋梁工程,
21385210,free body method,自由體法,橋梁工程,
21385211,free cantilevering ,懸臂施工,橋梁工程,
21385212,free end,自由端,橋梁工程,
21385213,free haul,不計價運距,橋梁工程,
21385214,freeboard,出水高,橋梁工程,
21385215,freeboard bridge,具出水高橋,橋梁工程,
21385216,freestone,易刻石；軟砂石,橋梁工程,
21385217,freezing process,冷凍法；冷凍程序,橋梁工程,
21385218,freight locomotive,貨運機車；運貨機車,橋梁工程,
21385219,friction clutch,摩擦離合器,橋梁工程,
21385220,friction coupling,摩擦聯結器,橋梁工程,
21385221,friction drum,摩擦鼓,橋梁工程,
21385222,friction force,摩擦力；摩擦推力；摩擦銲接推力,橋梁工程,
21385223,friction gear,摩擦齒輪,橋梁工程,
21385224,friction hammer,摩擦鎚,橋梁工程,
21385225,friction pulley,摩擦滑輪,橋梁工程,
21385226,friction rollers,摩擦滾輪；摩擦輥,橋梁工程,
21385227,friction washer,摩擦墊圈,橋梁工程,
21385228,friction wheel,摩擦輪,橋梁工程,
21385229,frictional gearing,摩擦傳動輪；摩擦輪,橋梁工程,
21385230,frustum,截頭錐；錐台,橋梁工程,
21385231,fulcrum,支點；支軸,橋梁工程,
21385232,full ductility design,全韌性設計,橋梁工程,
21385233,full splice,全續接,橋梁工程,
21385234,fuller,半圓型鎚,橋梁工程,
21385235,function of structure,結構功能,橋梁工程,
21385236,functional event fee,橋梁中震後可修復費用,橋梁工程,
21385237,functional requirement,功能需求,橋梁工程,
21385238,functionally obsolete bridge,不符現行規範橋梁,橋梁工程,
21385239,funicular polygon,索狀多邊形,橋梁工程,
21385240,fuse,熔化；保險絲；熔線,橋梁工程,
21385241,fusion zone,熔合帶；母材熔融區,橋梁工程,
21385242,fuze,熔化；保險絲；熔線,橋梁工程,
21385243,gad,鏨尖,橋梁工程,
21385244,gad steel,鏨鋼,橋梁工程,
21385245,gadding,鑽孔,橋梁工程,
21385246,gadding-machine,開石機；平行鑽孔架,橋梁工程,
21385247,gaff,魚鉤；掛勾,橋梁工程,
21385248,gaff hook,魚鉤；掛勾,橋梁工程,
21385249,gag press,壓力矯直機；壓直機,橋梁工程,
21385250,gag process,壓力矯直處理,橋梁工程,
21385251,gage,軌距；螺栓間距；量規,橋梁工程,
21385252,gagger,鐵骨,橋梁工程,
21385253,gain,榫槽；增益,橋梁工程,
21385254,gaining,榫槽化,橋梁工程,
21385255,gaining machine,榫槽機,橋梁工程,
21385256,gallon,加侖,橋梁工程,
21385257,gallows,絞架；掛架,橋梁工程,
21385258,gallows-frame,龍門吊架；門式吊架；井架,橋梁工程,
21385259,galvanized iron,鍍鋅鐵,橋梁工程,
21385260,galvanizing ,鍍鋅,橋梁工程,
21385261,galvanometer,電流計,橋梁工程,
21385262,gang,班；組；套,橋梁工程,
21385263,gang drill,群鑽,橋梁工程,
21385264,gang plank,跳板,橋梁工程,
21385265,gang punch,多孔打孔機,橋梁工程,
21385266,gantry traveler,門架吊車；門式行動吊車；移動橋式起重機,橋梁工程,
21385267,gas engine,燃氣引擎；內燃機,橋梁工程,
21385268,gas pipe,氣管,橋梁工程,
21385269,gasoline engine,汽油引擎,橋梁工程,
21385270,gate,閘門；澆注口,橋梁工程,
21385271,gate block,開口滑車；閘門墩,橋梁工程,
21385272,gate valve,閘閥,橋梁工程,
21385273,gauge,軌距；螺栓間距；量規,橋梁工程,
21385274,gauge glass,玻璃管液位計,橋梁工程,
21385275,gauge pile,定位樁,橋梁工程,
21385276,gauging,量測；計量,橋梁工程,
21385277,gauntry,門式起重機,橋梁工程,
21385278,gear,齒輪；傳動裝置,橋梁工程,
21385279,gear wheel,齒輪,橋梁工程,
21385280,geared locomotive,齒輪傳動機車,橋梁工程,
21385281,gearing,傳動裝置；齒輪裝置,橋梁工程,
21385282,general drawing,總圖,橋梁工程,
21385283,general foreman,總工頭,橋梁工程,
21385284,general layout,總配置圖,橋梁工程,
21385285,geodesic dome,網格穹頂；富勒穹頂,橋梁工程,
21385286,geometric design,幾何設計；線形設計,橋梁工程,
21385287,geometrical progression,幾何級數；等比級數,橋梁工程,
21385288,geostatic arch,土壓拱,橋梁工程,
21385289,geotextile ,地工織物,橋梁工程,
21385290,German steel,德國鋼,橋梁工程,
21385291,gib,凹字楔；夾條,橋梁工程,
21385292,Gilbreth pile,吉爾布斯樁,橋梁工程,
21385293,gin,絞盤；三腳起重機,橋梁工程,
21385294,gin block,單滑輪車；單輪滑車；吊貨滑車,橋梁工程,
21385295,gin pole,安裝用起重架；起重拔桿,橋梁工程,
21385296,gin pole derrick,桅桿式起重機,橋梁工程,
21385297,gin tackle,起重機復滑輪,橋梁工程,
21385298,gin type derrick,桅桿式起重機,橋梁工程,
21385299,girder,大梁；桁；梁,橋梁工程,
21385300,girder bridge,桁梁橋,橋梁工程,
21385301,girder dog,大梁吊鉤,橋梁工程,
21385302,girder guard-rail,梁式護軌,橋梁工程,
21385303,girder hook,大梁吊鉤,橋梁工程,
21385304,girder iron,大梁鋼；I型鋼,橋梁工程,
21385305,girder rail,平底軌；鐵軌,橋梁工程,
21385306,girder span,大梁跨度；梁跨,橋梁工程,
21385307,girth,周長,橋梁工程,
21385308,glacis,緩斜坡,橋梁工程,
21385309,gland,填涵蓋；聯軸器,橋梁工程,
21385310,glass cutter,玻璃割刀,橋梁工程,
21385311,glazed iron,高硅生鐵,橋梁工程,
21385312,globe valve,球閥,橋梁工程,
21385313,glulam,集成材,橋梁工程,
21385314,gneiss,片麻岩,橋梁工程,
21385315,gog press,矯直壓機,橋梁工程,
21385316,gooseneck,鵝頸形鉤；鵝頸形管；柔性聯結器,橋梁工程,
21385317,gooseneck dolly,鵝頸式輅車；鵝頸式台車,橋梁工程,
21385318,gouge,半圓鑿；鑿孔,橋梁工程,
21385319,governor,調速器,橋梁工程,
21385320,grab,抓斗,橋梁工程,
21385321,grab bucket,挖泥抓斗；挖土機抓斗,橋梁工程,
21385322,grab hook,抓鉤,橋梁工程,
21385323,grab iron,抓斗,橋梁工程,
21385324,grade line,坡度線,橋梁工程,
21385325,grade plug,斜木塞,橋梁工程,
21385326,grade point,坡度點,橋梁工程,
21385327,grade separation,立體交叉,橋梁工程,
21385328,grade stake,坡度樁,橋梁工程,
21385329,gradienter,傾斜計,橋梁工程,
21385330,grain,喱；分流；匯流點；紋理,橋梁工程,
21385331,granite,花崗岩；花崗石,橋梁工程,
21385332,granite chip,花崗石碎片,橋梁工程,
21385333,granite masonry,花崗石砌作；花崗石圬工,橋梁工程,
21385334,granite screenings,花崗石篩屑,橋梁工程,
21385335,granitoid,花崗石混凝土；似花崗石狀,橋梁工程,
21385336,granular fracture,粒狀破裂,橋梁工程,
21385337,granular structure,粒狀結構,橋梁工程,
21385338,graphic diagram,圖；線圖,橋梁工程,
21385339,graphics,圖解法；圖解學,橋梁工程,
21385340,graphite,石墨,橋梁工程,
21385341,graphite paint,石墨漆,橋梁工程,
21385342,grapline,六爪抓斗,橋梁工程,
21385343,grapnel,六爪抓斗,橋梁工程,
21385344,grappier cement,石灰渣水泥,橋梁工程,
21385345,grappling iron,鐵抓斗,橋梁工程,
21385346,gravel concrete,礫石混凝土,橋梁工程,
21385347,gravel sieve,礫石篩,橋梁工程,
21385348,gravimeter,重力計,橋梁工程,
21385349,gravity,重力,橋梁工程,
21385350,gravity abutment wall,重力式橋台牆,橋梁工程,
21385351,gravity dam,重力壩,橋梁工程,
21385352,Gray column,格瑞鋼柱；角鋼條板組合鋼柱,橋梁工程,
21385353,gray iron,灰生鐵,橋梁工程,
21385354,green masonry,新砌作,橋梁工程,
21385355,green sand,新採砂；濕模砂,橋梁工程,
21385356,grid flooring,鋼格柵地板,橋梁工程,
21385357,grillage,格床,橋梁工程,
21385358,grind stone,磨石；砥石,橋梁工程,
21385359,grinding,研磨,橋梁工程,
21385360,grindle stone,磨石；砥石,橋梁工程,
21385361,grip of a bolt,螺栓夾距,橋梁工程,
21385362,grip of rivet,鉚釘夾距,橋梁工程,
21385363,groin,丁壩；挑水壩,橋梁工程,
21385364,groined arch,交叉拱,橋梁工程,
21385365,groove,槽；開槽；溝,橋梁工程,
21385366,grooved rail,溝槽導軌,橋梁工程,
21385367,ground finish,精磨加工,橋梁工程,
21385368,ground joint,研磨接合,橋梁工程,
21385369,ground line,基線；地平線,橋梁工程,
21385370,ground-hog,挖掘工,橋梁工程,
21385371,groyne,丁壩；防波堤,橋梁工程,
21385372,grubbing,掘除,橋梁工程,
21385373,grubbing material ,植被材料,橋梁工程,
21385374,guard,防護,橋梁工程,
21385375,guard timber,木製護欄,橋梁工程,
21385376,guard-rail,護軌；護欄,橋梁工程,
21385377,gudgeon,軸頭；桿頭,橋梁工程,
21385378,gudgeon pin,軸頭銷；桿頭銷,橋梁工程,
21385379,guide,導引裝置,橋梁工程,
21385380,guide bar,導桿,橋梁工程,
21385381,guide block,導塊,橋梁工程,
21385382,guide chair,導座,橋梁工程,
21385383,guide frame,導架,橋梁工程,
21385384,guide pile,導樁；定位樁,橋梁工程,
21385385,guide pulley,導向滑輪；導輪,橋梁工程,
21385386,guide rail,導軌,橋梁工程,
21385387,guide roller,導向滾輪,橋梁工程,
21385388,guide rope,導索,橋梁工程,
21385389,guide screw,導螺桿,橋梁工程,
21385390,guide tube,導管,橋梁工程,
21385391,guide wedge,導向楔,橋梁工程,
21385392,guiderail cap,護欄端蓋,橋梁工程,
21385393,guide-yoke,導向軛,橋梁工程,
21385394,gun,噴槍；銲槍,橋梁工程,
21385395,gun metal,砲銅；青銅,橋梁工程,
21385396,gunnel,船舷上緣,橋梁工程,
21385397,gunnysack,粗麻袋,橋梁工程,
21385398,gunny-sack,粗麻袋,橋梁工程,
21385399,gunpowder,火藥,橋梁工程,
21385400,gunpowder pile driver,火藥打椿機,橋梁工程,
21385401,gunwale,船舷上緣,橋梁工程,
21385402,gusset plate connection,接合板接頭；角接板接頭,橋梁工程,
21385403,guy,拉索；牽繩,橋梁工程,
21385404,guy derrick,纜繩式桅桿起重機；纜繩式人字臂起重桿,橋梁工程,
21385405,guy line,拉索；牽繩,橋梁工程,
21385406,guy ring,索環；繩環,橋梁工程,
21385407,guy rope,拉索；牽繩,橋梁工程,
21385408,gyration,旋轉；迴轉,橋梁工程,
21385409,hack saw,弓鋸,橋梁工程,
21385410,hacked bolt,底腳螺栓；錨栓；帶刺螺栓,橋梁工程,
21385411,hacksaw,弓鋸,橋梁工程,
21385412,haft,柄；刀柄,橋梁工程,
21385413,half round tie,半圓枕木,橋梁工程,
21385414,half-and-half joint,對嵌接頭,橋梁工程,
21385415,half-latticed girder,半格狀桁梁,橋梁工程,
21385416,half-plate latticed girder,半格狀桁梁,橋梁工程,
21385417,half-round bastard file,半圓粗銼,橋梁工程,
21385418,half-round rasp,半圓木銼,橋梁工程,
21385419,half-round wood file,半圓粗木銼,橋梁工程,
21385420,half-through girder,半穿式梁,橋梁工程,
21385421,half-through latticed girder,半穿式格狀桁梁,橋梁工程,
21385422,half-through plate girder,半穿式板梁,橋梁工程,
21385423,half-through plate girder bridge,半穿式板梁橋,橋梁工程,
21385424,half-through span,半穿式橋跨,橋梁工程,
21385425,half-through truss,半穿式桁架,橋梁工程,
21385426,halving,對嵌,橋梁工程,
21385427,halving joint,對嵌接頭,橋梁工程,
21385428,hammer axe,錘斧,橋梁工程,
21385429,hammer beam,椽梁,橋梁工程,
21385430,hammer dressing,錘琢,橋梁工程,
21385431,hammer guides,錘導軌,橋梁工程,
21385432,hammer hardening,錘鍛硬化,橋梁工程,
21385433,hammer tongs,錘鍛夾鉗,橋梁工程,
21385434,hammered dressing,錘琢,橋梁工程,
21385435,hammered head,錘製頭,橋梁工程,
21385436,hammerhead pier,錘頭橋墩,橋梁工程,
21385437,hammer-mark,錘痕,橋梁工程,
21385438,hammer-pick,尖尾錘,橋梁工程,
21385439,hammer-wrought,錘鍛物,橋梁工程,
21385440,hand axe,手斧,橋梁工程,
21385441,hand car,手搖軌道車；手推車,橋梁工程,
21385442,hand drill,手搖鑽,橋梁工程,
21385443,hand float trowel,鏝刀,橋梁工程,
21385444,hand frame,手推車,橋梁工程,
21385445,hand gauge,刮痕規,橋梁工程,
21385446,hand gear,手動裝置,橋梁工程,
21385447,hand glass,閱讀鏡；放大鏡,橋梁工程,
21385448,hand gouge,手鑿,橋梁工程,
21385449,hand hammer,手錘,橋梁工程,
21385450,hand hook,手鉤,橋梁工程,
21385451,hand lever,手槓桿；手柄,橋梁工程,
21385452,hand line,引導繩,橋梁工程,
21385453,hand pile driver,人工打樁機,橋梁工程,
21385454,hand pump,手動泵；手搖泵,橋梁工程,
21385455,hand rail,扶手；欄杆,橋梁工程,
21385456,hand reamer,手絞刀,橋梁工程,
21385457,hand riveting,手工鉚接,橋梁工程,
21385458,hand saw,手鋸,橋梁工程,
21385459,hand spike,手轉桿,橋梁工程,
21385460,hand vise,手鉗,橋梁工程,
21385461,hand wheel,手輪,橋梁工程,
21385462,hand winch,手絞車；手搖絞車,橋梁工程,
21385463,handbook,手冊；指南,橋梁工程,
21385464,handle,手柄；把手,橋梁工程,
21385465,handle gouge,帶柄鑿,橋梁工程,
21385466,handle lock sleeve,帶柄套管；帶柄套筒,橋梁工程,
21385467,hand-rail cap,欄杆扶手,橋梁工程,
21385468,handrail post,扶手柱；欄杆柱,橋梁工程,
21385469,hand-wrought,手工製品,橋梁工程,
21385470,hanger plate,懸吊接合板,橋梁工程,
21385471,hanging bridge,吊橋,橋梁工程,
21385472,hanging system,懸吊系統,橋梁工程,
21385473,hard set,終凝,橋梁工程,
21385474,hard set of cement,終凝；水泥終凝,橋梁工程,
21385475,hard steel,硬鋼,橋梁工程,
21385476,hard wood,硬木,橋梁工程,
21385477,hard-burned brick,過燒磚,橋梁工程,
21385478,hardening of steel,鋼硬化,橋梁工程,
21385479,hardpan,硬盤層；硬盤泥,橋梁工程,
21385480,hardwood,硬木,橋梁工程,
21385481,hardy,鏨；鐵鉆凸錐,橋梁工程,
21385482,harmonic curve,諧和曲線；正弦曲線,橋梁工程,
21385483,hasp,搭扣,橋梁工程,
21385484,haul,運距,橋梁工程,
21385485,haunch box girder,變梁深箱型梁,橋梁工程,
21385486,haunched girder with splice plates,含續接板之變梁深大梁,橋梁工程,
21385487,Haupt truss,豪普特桁架,橋梁工程,
21385488,H-beam,H型鋼,橋梁工程,
21385489,head frame,龍門吊架；門式吊架；井架,橋梁工程,
21385490,head sheaves,天輪,橋梁工程,
21385491,head valve,頂置閥；出口閥,橋梁工程,
21385492,head wall,橋台端牆,橋梁工程,
21385493,head-block,墊木塊,橋梁工程,
21385494,header and stretcher bond,丁磚順磚砌合,橋梁工程,
21385495,heading chisel,榫眼鑿,橋梁工程,
21385496,heading joint,端接,橋梁工程,
21385497,heading tool,鍛頭工具,橋梁工程,
21385498,headwall ,擋土牆,橋梁工程,
21385499,heart,心材,橋梁工程,
21385500,heart cam,心形凸輪,橋梁工程,
21385501,heart check,心材檢查,橋梁工程,
21385502,heart shake,心裂{木材},橋梁工程,
21385503,heart tie,心材枕木,橋梁工程,
21385504,heart wood,心材,橋梁工程,
21385505,heat,熱能,橋梁工程,
21385506,heat input,入熱量；熱輸入,橋梁工程,
21385507,heat test of cement,水泥煮沸試驗,橋梁工程,
21385508,heater,加熱器,橋梁工程,
21385509,heavy vehicle loading,重車載重,橋梁工程,
21385510,heel,踵；壩踵；足跟；構材下端,橋梁工程,
21385511,helicoid,螺旋面,橋梁工程,
21385512,helix,螺旋線,橋梁工程,
21385513,helve,斧柄,橋梁工程,
21385514,helve hammer,杵錘,橋梁工程,
21385515,hemp,麻,橋梁工程,
21385516,hemp packing,麻繩包裝,橋梁工程,
21385517,henequin hemp,劍麻,橋梁工程,
21385518,herring bone dressing,鯡骨式圖案,橋梁工程,
21385519,herring-bone,鯡骨式支撐,橋梁工程,
21385520,herringbone work,鯡骨式砌法,橋梁工程,
21385521,hewed tie,斧鑿枕木,橋梁工程,
21385522,hexagon,六角形,橋梁工程,
21385523,hexagonal nut,六角螺帽,橋梁工程,
21385524,H-frame tower,H型構架塔,橋梁工程,
21385525,hick joint,平勾縫,橋梁工程,
21385526,hicky,橋梁工工具,橋梁工程,
21385527,hiding power,遮蓋能力,橋梁工程,
21385528,high bridge,高淨空航道橋,橋梁工程,
21385529,high carbon steel,高碳鋼,橋梁工程,
21385530,high steel,高碳鋼,橋梁工程,
21385531,high tensile bolt,高拉力螺栓,橋梁工程,
21385532,high water,高水位,橋梁工程,
21385533,high-water-mark,高水位痕跡,橋梁工程,
21385534,highway bridge,公路橋梁,橋梁工程,
21385535,hinge lift bridge,鉸接開合橋,橋梁工程,
21385536,hinge pin,鉸接銷,橋梁工程,
21385537,hinged arch,鉸拱,橋梁工程,
21385538,hinged end,鉸接端,橋梁工程,
21385539,hinged joint,鉸接接合；鉸接,橋梁工程,
21385540,hinged plate,鉸接合板,橋梁工程,
21385541,hinged post,鉸接柱,橋梁工程,
21385542,hinge-end,鉸接端,橋梁工程,
21385543,hip,桁架上弦端部接合；斜脊,橋梁工程,
21385544,hip knob,斜脊頂部,橋梁工程,
21385545,hip roof,四坡屋頂,橋梁工程,
21385546,hip vertical,桁架端部立桿{Pratt 桁架},橋梁工程,
21385547,hip-joint,桁架上弦端部與斜桿接合,橋梁工程,
21385548,hip-joint hood,桁架上弦端部接合防水板,橋梁工程,
21385549,hitch plate,繩頭板,橋梁工程,
21385550,hitcher,船鈎,橋梁工程,
21385551,Hodgkinson's formula,哈金生柱公式,橋梁工程,
21385552,hoe,鋤,橋梁工程,
21385553,hog chain,倒拱式拉索,橋梁工程,
21385554,hog-chain truss,倒拱式拉索桁架,橋梁工程,
21385555,hoist,起重機,橋梁工程,
21385556,hoist bridge,升降橋；升降活動橋,橋梁工程,
21385557,hoisting block,起重滑車組；起重滑輪組,橋梁工程,
21385558,hoisting crab,起重滑車；起重絞車,橋梁工程,
21385559,hoisting engine,起重機馬達,橋梁工程,
21385560,hoisting jack,螺旋千斤頂；螺旋起重機,橋梁工程,
21385561,hoisting machine,起重機,橋梁工程,
21385562,hoisting shears,起重機支撐架,橋梁工程,
21385563,hoisting-cable rope,起重機鋼纜,橋梁工程,
21385564,holding-on bar,頂鉚桿,橋梁工程,
21385565,holding-up hammer,頂鉚錘,橋梁工程,
21385566,hollow pile,空心樁,橋梁工程,
21385567,home bank,施工側,橋梁工程,
21385568,homogeneous,均質,橋梁工程,
21385569,homogeneous steel,均質鋼,橋梁工程,
21385570,honeycomb,蜂窩,橋梁工程,
21385571,honeycombing,蜂窩狀,橋梁工程,
21385572,hook and ring chain,鉤環吊鏈,橋梁工程,
21385573,hook block,鉤頭滑輪組；鉤頭滑車組,橋梁工程,
21385574,hook chain,鉤鏈,橋梁工程,
21385575,Hooke's joint,虎克接頭；萬向接頭,橋梁工程,
21385576,hook-eye,鉤眼,橋梁工程,
21385577,hoop,閉合箍筋,橋梁工程,
21385578,hopper,料斗；漏斗,橋梁工程,
21385579,horizontal alignment ,水平定線,橋梁工程,
21385580,horizontal component,水平分量,橋梁工程,
21385581,horizontal moment,水平彎矩,橋梁工程,
21385582,horizontal pump,卧式泵,橋梁工程,
21385583,horizontal pumping machine,卧式泵,橋梁工程,
21385584,horizontal section,水平斷面,橋梁工程,
21385585,horizontal strut,水平支撐,橋梁工程,
21385586,horizontal sway bracing,水平斜撐,橋梁工程,
21385587,horizontal truss,水平桁架,橋梁工程,
21385588,horn,樁尖；鉆角,橋梁工程,
21385589,horse,木馬支架；斷層夾石,橋梁工程,
21385590,horse dolly,鉚釘頭模棒,橋梁工程,
21385591,horse gin,轆轤,橋梁工程,
21385592,horse pile driver,打樁機,橋梁工程,
21385593,horsepower,馬力,橋梁工程,
21385594,horseshoe riveter, 馬蹄形鉚釘機,橋梁工程,
21385595,hose,軟管,橋梁工程,
21385596,hot box,過熱軸箱,橋梁工程,
21385597,hot chisel,熱鑿,橋梁工程,
21385598,hot cutter,熱刀,橋梁工程,
21385599,hot saw,熱鋸,橋梁工程,
21385600,hot short,熱脆性,橋梁工程,
21385601,hot-pressed paper,熱壓紙,橋梁工程,
21385602,hot-short iron,熱脆鐵,橋梁工程,
21385603,hot-short steel,熱脆鋼,橋梁工程,
21385604,housing iron,鐵製填絮工具,橋梁工程,
21385605,housing joint,槽榫接合,橋梁工程,
21385606,housing maul,鐵錘,橋梁工程,
21385607,Howe truss with counter braces,具反向斜桿的郝氏桁架,橋梁工程,
21385608,hub,輪轂,橋梁工程,
21385609,hub guard,防撞板,橋梁工程,
21385610,humped-up,中間隆起,橋梁工程,
21385611,hundredweight (cwt),百[磅]重；英擔,橋梁工程,
21385612,hurst,沙岸；沙洲,橋梁工程,
21385613,Hutton's formula,哈頓公式,橋梁工程,
21385614,hydraulic activity,水泥活性,橋梁工程,
21385615,hydraulic buffer,液壓緩衝器,橋梁工程,
21385616,hydraulic condenser,冷凝器,橋梁工程,
21385617,hydraulic crane,液壓式吊車,橋梁工程,
21385618,hydraulic energy,水力能；液壓能,橋梁工程,
21385619,hydraulic gauge,水壓計,橋梁工程,
21385620,hydraulic index,水硬指數,橋梁工程,
21385621,hydraulic indicator,水壓計,橋梁工程,
21385622,hydraulic lime,水硬石灰,橋梁工程,
21385623,hydraulic mortar,水硬砂漿,橋梁工程,
21385624,hydraulic quickness,水泥活性,橋梁工程,
21385625,hydraulic riveter,液壓鉚機,橋梁工程,
21385626,hydraulic strength,水硬強度,橋梁工程,
21385627,hydroplaning,水漂作用；水滑作用,橋梁工程,
21385628,hygrometer,溼度計,橋梁工程,
21385629,hyperbola,雙曲線,橋梁工程,
21385630,hyperbolic curve,雙曲線,橋梁工程,
21385631,hyperbolic logarithm,雙曲線對數,橋梁工程,
21385632,hypotenuse,弦；斜邊,橋梁工程,
21385633,I-beam dog,I形梁吊鉤,橋梁工程,
21385634,I-beam girder,I形大梁,橋梁工程,
21385635,I-beam hook,I形梁吊鉤,橋梁工程,
21385636,ice-breaker,橋墩破冰體,橋梁工程,
21385637,idle gear,惰齒輪,橋梁工程,
21385638,idle pulley,惰輪；空轉輪,橋梁工程,
21385639,idle wheel,惰輪,橋梁工程,
21385640,idler,惰輪,橋梁工程,
21385641,ignition,點火,橋梁工程,
21385642,impact,衝擊,橋梁工程,
21385643,impact on third parties,第三方影響；第三方衝擊,橋梁工程,
21385644,impact stress,衝擊應力,橋梁工程,
21385645,impact-allowance load,容許衝擊載重,橋梁工程,
21385646,impact-load stress,衝擊應力,橋梁工程,
21385647,impulse,衝量；脈衝,橋梁工程,
21385648,impulsive force,衝力；脈衝力,橋梁工程,
21385649,inch stress,平方英吋應力,橋梁工程,
21385650,inch-pound,吋磅功；吋磅矩,橋梁工程,
21385651,inch-ton,吋噸功,橋梁工程,
21385652,inclined end post,斜端柱,橋梁工程,
21385653,inclined plane,斜面,橋梁工程,
21385654,inclined strut,斜支柱,橋梁工程,
21385655,incremental launching,節塊推進,橋梁工程,
21385656,indentation roller,壓紋滾輪,橋梁工程,
21385657,indented finish,壓紋飾面,橋梁工程,
21385658,indeterminate stress,靜不定應力,橋梁工程,
21385659,indicated horsepower,指示馬力；標示馬力,橋梁工程,
21385660,indicator diagram,示功圖；指標圖,橋梁工程,
21385661,indifferent equilibrium,隨遇平衡,橋梁工程,
21385662,indirect effect,間接效應,橋梁工程,
21385663,indirect stress,間接應力；引發應力,橋梁工程,
21385664,indirect wind load,間接風力,橋梁工程,
21385665,indirect wind stress,間接風應力,橋梁工程,
21385666,induced stress,間接應力；引發應力,橋梁工程,
21385667,indurated fibre,絕緣用硬纖維,橋梁工程,
21385668,industrial bridge,工業鋼橋；重載鋼橋,橋梁工程,
21385669,inertia,慣性；慣量；惰性,橋梁工程,
21385670,infill,拱腹填料；拱肩填料,橋梁工程,
21385671,inflection,反曲,橋梁工程,
21385672,ingot,鑄錠,橋梁工程,
21385673,ingot iron,熟鐵；工業用純鐵,橋梁工程,
21385674,ingot mould,錠模,橋梁工程,
21385675,ingot steel,鋼錠,橋梁工程,
21385676,ingredient,成分,橋梁工程,
21385677,initial flaw,初始缺陷；初始瑕疵,橋梁工程,
21385678,initial set of cement,初凝,橋梁工程,
21385679,initial stress,初始應力；起始應力,橋梁工程,
21385680,initial tension,初張力；初拉力,橋梁工程,
21385681,injection condenser,噴射凝結器,橋梁工程,
21385682,injector,注射器,橋梁工程,
21385683,inlay,嵌體；鑲嵌,橋梁工程,
21385684,inner guard rail,內護軌,橋梁工程,
21385685,inner hip,內斜脊,橋梁工程,
